RPM,Force (Kg f),RPM
-3465,-4.07,3465
-3468,-4.05,3468
-3449,-4.02,3449
-3421,-3.96,3421
-3410,-3.9,3410
-3395,-3.87,3395
-3374,-3.82,3374
-3356,-3.8,3356
-3323,-3.75,3323
-3307,-3.71,3307
-3282,-3.66,3282
-3248,-3.59,3248
-3223,-3.52,3223
-3207,-3.45,3207
-3177,-3.4,3177
-3153,-3.31,3153
-3111,-3.25,3111
-3086,-3.2,3086
-3061,-3.11,3061
-3050,-3.04,3050
-3003,-2.99,3003
-2988,-2.94,2988
-2952,-2.86,2952
-2918,-2.82,2918
-2896,-2.77,2896
-2865,-2.71,2865
-2845,-2.66,2845
-2821,-2.58,2821
-2792,-2.55,2792
-2759,-2.51,2759
-2736,-2.45,2736
-2712,-2.38,2712
-2681,-2.35,2681
-2661,-2.28,2661
-2629,-2.24,2629
-2599,-2.2,2599
-2576,-2.12,2576
-2548,-2.08,2548
-2517,-2.02,2517
-2482,-1.98,2482
-2440,-1.94,2440
-2419,-1.86,2419
-2369,-1.81,2369
-2345,-1.76,2345
-2306,-1.7,2306
-2278,-1.67,2278
-2248,-1.61,2248
-2222,-1.56,2222
-2199,-1.51,2199
-2157,-1.49,2157
-2140,-1.44,2140
-2106,-1.4,2106
-2081,-1.35,2081
-2040,-1.3,2040
-2001,-1.26,2001
-1968,-1.2,1968
-1936,-1.16,1936
-1903,-1.12,1903
-1870,-1.1,1870
-1840,-1.05,1840
-1807,-1.02,1807
-1773,-0.98,1773
-1738,-0.94,1738
-1705,-0.9,1705
-1667,-0.87,1667
-1630,-0.82,1630
-1589,-0.78,1589
-1554,-0.74,1554
-1519,-0.72,1519
-1482,-0.68,1482
-1448,-0.65,1448
-1410,-0.62,1410
-1362,-0.58,1362
-1325,-0.54,1325
-1285,-0.51,1285
-1246,-0.48,1246
-1199,-0.44,1199
-1153,-0.42,1153
-1113,-0.39,1113
-1064,-0.35,1064
-1016,-0.32,1016
-970,-0.29,970
-916,-0.26,916
-869,-0.24,869
-810,-0.21,810
-758,-0.18,758
-697,-0.15,697
-641,-0.13,641
-578,-0.1,578
-513,-0.09,513
-450,-0.07,450
-388,-0.05,388
-317,-0.04,317
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
308,0.04,308
375,0.05,375
441,0.08,441
508,0.1,508
573,0.13,573
630,0.15,630
688,0.18,688
749,0.22,749
804,0.25,804
859,0.29,859
906,0.32,906
962,0.36,962
1007,0.4,1007
1057,0.44,1057
1104,0.47,1104
1148,0.51,1148
1195,0.56,1195
1237,0.6,1237
1279,0.64,1279
1319,0.68,1319
1359,0.72,1359
1409,0.78,1409
1444,0.82,1444
1480,0.87,1480
1516,0.91,1516
1549,0.95,1549
1583,0.99,1583
1629,1.03,1629
1668,1.1,1668
1699,1.14,1699
1740,1.18,1740
1766,1.24,1766
1802,1.28,1802
1835,1.33,1835
1865,1.39,1865
1901,1.44,1901
1930,1.48,1930
1961,1.54,1961
1994,1.59,1994
2031,1.65,2031
2071,1.69,2071
2106,1.76,2106
2129,1.82,2129
2160,1.88,2160
2190,1.93,2190
2219,1.99,2219
2244,2.05,2244
2266,2.12,2266
2305,2.18,2305
2342,2.22,2342
2392,2.28,2392
2416,2.38,2416
2446,2.43,2446
2475,2.52,2475
2498,2.58,2498
2538,2.65,2538
2584,2.73,2584
2609,2.76,2609
2639,2.84,2639
2663,2.89,2663
2688,2.98,2688
2711,3.05,2711
2735,3.11,2735
2766,3.17,2766
2809,3.22,2809
2822,3.3,2822
2854,3.37,2854
2888,3.42,2888
2903,3.51,2903
2934,3.61,2934
2973,3.68,2973
3002,3.74,3002
3042,3.82,3042
3065,3.89,3065
3108,3.96,3108
3125,4.06,3125
3153,4.15,3153
3180,4.25,3180
3204,4.3,3204
3242,4.38,3242
3260,4.51,3260
3299,4.53,3299
3308,4.65,3308
3351,4.71,3351
3379,4.79,3379
3406,4.84,3406
3428,4.93,3428
3438,5.01,3438
3455,5.08,3455
3494,5.14,3494
3516,5.18,3516
3527,5.22,3527
3533,5.25,3533
